activity_id,user_id,steps,minutes_meditated,activity_type,date,calories_burned,gym_visit,week
1,661,14063,27,Crossfit,2024-11-09,650.59,True,45
2,104,881,19,Meditação,2024-08-10,28.51,False,32
3,755,2060,5,Caminhada,2023-11-10,104.85,False,45
4,462,14677,7,Caminhada,2024-11-24,243.2,False,47
5,743,18466,31,Caminhada,2024-01-25,65.13,False,4
6,991,6702,18,Caminhada,2023-02-14,226.35,False,7
7,718,9429,31,Caminhada,2024-10-24,144.74,False,43
8,710,15853,18,Bike Indoor,2023-04-27,316.64,True,17
9,396,158,23,Corrida,2023-05-02,741.39,True,18
10,912,15996,23,Bike Indoor,2024-04-26,495.09,True,17
11,337,5229,55,Corrida,2023-06-19,639.73,True,25
12,599,7956,16,Crossfit,2024-11-08,866.02,True,45
13,142,12566,55,Crossfit,2024-02-04,827.54,True,5
14,317,2526,55,Meditação,2024-10-22,39.23,False,43
15,711,7803,17,Meditação,2024-05-14,40.49,False,20
16,558,6574,11,Crossfit,2023-03-15,794.58,True,11
17,800,8733,40,Corrida,2023-05-29,546.26,True,22
18,527,17522,22,Meditação,2024-06-20,19.73,False,25
19,556,7257,55,Caminhada,2023-03-02,275.73,False,9
20,401,3283,47,Crossfit,2023-02-23,984.96,True,8
21,681,15909,17,Caminhada,2023-08-11,139.42,False,32
22,310,11802,15,Caminhada,2024-04-17,78.08,False,16
23,495,7896,15,Crossfit,2023-11-12,611.27,True,45
24,556,18803,35,Bike Indoor,2023-06-19,568.27,True,25
25,610,13526,22,Bike Indoor,2023-02-01,369.17,True,5
26,773,18140,21,Corrida,2023-02-22,712.05,True,8
27,109,11278,38,Bike Indoor,2023-05-19,669.21,True,20
28,795,13242,32,Bike Indoor,2024-01-09,685.46,True,2
29,372,18690,23,Caminhada,2023-02-16,52.33,False,7
30,855,2570,54,Meditação,2023-03-31,48.33,False,13
31,616,324,19,Crossfit,2023-02-05,870.1,True,5
32,768,9721,32,Meditação,2023-08-13,13.36,False,32
33,891,5645,30,Caminhada,2024-07-07,153.81,False,27
34,206,18329,39,Caminhada,2023-09-26,225.01,False,39
35,847,14404,57,Meditação,2023-07-05,48.27,False,27
36,43,4486,54,Meditação,2024-01-06,16.57,False,1
37,865,2430,7,Bike Indoor,2023-08-23,351.09,True,34
38,245,19894,9,Meditação,2023-05-02,28.89,False,18
39,287,17229,0,Caminhada,2024-02-28,292.02,False,9
40,355,13156,20,Bike Indoor,2024-01-24,688.55,True,4
41,785,567,24,Corrida,2023-04-27,491.17,True,17
42,476,2179,31,Caminhada,2024-04-10,129.84,False,15
43,83,2019,52,Bike Indoor,2024-03-04,663.21,True,10
44,110,15919,45,Bike Indoor,2024-03-17,593.94,True,11
