user_id,week,weekly_gym_visits,sedentarism_level
1,6,1,1
1,7,0,0
1,11,0,0
1,15,2,2
1,17,0,0
1,18,1,1
1,21,0,0
1,29,1,1
1,33,0,0
1,47,1,1
1,52,0,0
2,3,1,1
2,17,0,0
2,20,0,0
2,32,0,0
2,34,1,1
2,37,1,1
2,46,1,1
2,51,1,1
3,5,0,0
3,18,1,1
3,22,2,2
3,27,1,1
3,33,0,0
3,34,1,1
3,38,1,1
3,43,5,4
3,44,3,3
4,2,1,1
4,10,0,0
4,21,1,1
4,22,1,1
4,24,0,0
4,41,1,1
5,3,0,0
5,46,0,0
6,7,1,1
6,8,0,0
6,10,0,0
6,15,0,0
6,23,0,0
6,40,5,4
6,41,3,3
7,11,1,1
7,15,0,0
7,17,5,4
7,18,5,4
7,19,1,1
7,21,0,0
7,22,0,0
7,24,0,0
7,26,0,0
7,30,1,1
7,32,0,0
7,47,5,4
7,48,3,3
8,6,1,1
8,9,0,0
8,15,1,1
8,17,1,1
8,24,0,0
8,30,1,1
8,32,1,1
8,33,1,1
8,36,1,1
8,38,1,1
9,26,1,1
9,29,0,0
9,35,0,0
9,42,1,1
9,45,0,0
9,47,0,0
9,48,1,1
10,4,0,0
10,5,0,0
10,8,0,0
10,26,1,1
10,31,1,1
10,33,1,1
10,43,1,1
10,44,1,1
10,49,0,0
11,1,5,4
11,2,3,3
11,8,1,1
11,16,1,1
11,19,0,0
11,21,1,1
11,22,1,1
11,27,1,1
11,30,0,0
11,37,1,1
12,1,1,1
12,3,0,0
12,11,0,0
12,13,0,0
12,19,1,1
12,22,1,1
12,28,0,0
12,31,1,1
12,32,1,1
12,33,1,1
12,36,0,0
12,40,1,1
12,44,0,0
13,1,1,1
13,4,0,0
13,7,1,1
13,13,0,0
13,14,1,1
13,20,0,0
13,21,1,1
13,30,1,1
13,37,0,0
13,38,1,1
13,40,1,1
13,43,0,0
13,44,1,1
14,7,0,0
14,9,0,0
14,13,0,0
14,22,1,1
14,27,1,1
14,34,0,0
14,35,0,0
14,39,0,0
14,41,1,1
14,42,1,1
15,14,1,1
15,21,1,1
15,24,0,0
15,40,1,1
15,44,0,0
15,46,0,0
15,47,1,1
16,10,0,0
16,16,0,0
16,17,0,0
16,19,1,1
16,21,0,0
16,22,1,1
16,24,1,1
16,30,0,0
16,33,1,1
16,39,0,0
16,42,0,0
17,4,1,1
17,9,1,1
17,18,0,0
17,19,5,4
17,20,3,3
17,23,0,0
17,25,1,1
17,34,0,0
17,38,1,1
17,44,0,0
17,49,1,1
17,52,1,1
18,7,1,1
18,12,0,0
18,15,1,1
18,16,1,1
18,39,0,0
18,44,0,0
18,46,1,1
18,47,1,1
19,2,1,1
19,4,2,2
19,5,1,1
19,7,0,0
19,18,0,0
19,20,1,1
19,23,5,4
19,24,4,3
19,27,0,0
19,38,1,1
19,47,2,2
19,48,1,1
20,10,1,1
20,11,0,0
20,14,0,0
20,18,5,4
20,19,3,3
20,20,0,0
20,22,1,1
20,24,0,0
20,33,0,0
20,36,0,0
20,39,0,0
20,41,1,1
20,52,0,0
21,8,1,1
21,9,2,2
21,12,5,4
21,13,3,3
21,17,2,2
21,19,1,1
21,30,0,0
21,42,0,0
22,14,0,0
22,21,0,0
22,28,0,0
22,29,2,2
22,31,0,0
22,46,5,4
22,47,3,3
22,48,1,1
23,6,0,0
23,10,0,0
23,12,1,1
23,15,1,1
23,19,0,0
23,24,0,0
23,25,1,1
23,45,1,1
24,2,0,0
24,6,1,1
24,14,1,1
24,15,0,0
24,17,0,0
24,23,1,1
24,24,0,0
24,27,0,0
24,37,1,1
24,52,1,1
25,5,1,1
25,7,1,1
25,18,1,1
25,27,1,1
25,32,1,1
25,35,0,0
25,37,5,4
25,38,3,3
25,39,1,1
25,46,1,1
25,48,1,1
25,49,5,4
25,50,3,3
26,3,0,0
26,6,1,1
26,14,0,0
26,15,1,1
26,17,0,0
26,20,0,0
26,21,1,1
26,22,0,0
26,25,1,1
26,27,1,1
26,28,0,0
26,30,1,1
26,31,1,1
26,38,0,0
26,45,0,0
26,51,1,1
27,2,0,0
27,13,1,1
27,16,0,0
27,17,1,1
27,18,0,0
27,22,1,1
27,34,1,1
27,39,1,1
28,2,0,0
28,4,0,0
28,6,0,0
28,9,1,1
28,20,0,0
28,24,0,0
28,42,1,1
28,45,0,0
29,2,1,1
29,5,0,0
29,13,1,1
29,21,0,0
29,29,1,1
29,34,0,0
29,38,1,1
29,43,1,1
29,46,1,1
30,2,0,0
30,9,1,1
30,33,1,1
31,2,1,1
31,12,1,1
31,16,1,1
31,23,1,1
31,27,0,0
31,28,0,0
31,36,0,0
31,37,0,0
31,43,1,1
31,47,0,0
31,51,1,1
32,9,1,1
32,16,0,0
32,20,1,1
32,25,0,0
32,26,0,0
32,29,1,1
32,31,0,0
33,5,0,0
33,7,0,0
33,11,0,0
33,27,1,1
33,29,0,0
34,4,0,0
34,9,1,1
34,11,0,0
34,18,0,0
34,25,1,1
34,33,1,1
34,46,0,0
35,13,0,0
35,18,1,1
35,20,1,1
35,23,1,1
35,38,1,1
35,42,0,0
35,46,1,1
36,17,1,1
36,50,0,0
37,2,0,0
37,5,1,1
37,7,1,1
37,26,0,0
37,35,0,0
37,45,1,1
38,6,1,1
38,17,0,0
38,22,1,1
38,25,5,4
38,26,3,3
38,37,1,1
38,41,0,0
39,3,2,2
39,4,0,0
39,5,1,1
39,7,0,0
39,12,1,1
39,16,6,4
39,17,3,3
39,23,1,1
39,35,1,1
39,40,1,1
39,48,1,1
40,20,1,1
40,21,1,1
40,37,1,1
40,38,1,1
40,40,1,1
40,47,0,0
40,49,0,0
41,2,1,1
41,4,5,4
41,5,3,3
41,9,0,0
41,12,0,0
41,14,0,0
41,31,1,1
41,41,0,0
42,1,0,0
42,6,0,0
42,9,1,1
42,11,0,0
42,12,1,1
42,13,0,0
42,16,0,0
42,22,0,0
42,23,0,0
42,25,0,0
42,26,0,0
42,39,0,0
42,45,1,1
42,48,0,0
43,1,0,0
43,4,1,1
43,5,0,0
43,11,1,1
43,15,0,0
43,21,1,1
43,36,0,0
43,46,1,1
44,3,0,0
44,6,0,0
44,11,0,0
44,13,0,0
44,18,1,1
44,20,1,1
44,23,1,1
44,39,1,1
44,41,1,1
44,46,0,0
44,48,0,0
45,1,1,1
45,4,1,1
45,14,0,0
45,15,1,1
45,17,5,4
45,18,3,3
45,22,0,0
45,24,1,1
45,38,0,0
45,46,0,0
46,7,0,0
46,9,1,1
46,12,1,1
46,21,1,1
46,23,0,0
46,29,0,0
46,33,0,0
46,34,1,1
46,40,1,1
46,41,0,0
46,49,1,1
46,51,0,0
47,3,0,0
47,5,1,1
47,6,1,1
47,9,0,0
47,12,1,1
47,13,1,1
47,16,0,0
47,17,5,4
47,18,3,3
47,23,0,0
47,26,1,1
47,30,1,1
47,43,1,1
47,44,0,0
47,50,1,1
48,28,1,1
48,34,1,1
48,43,0,0
48,52,0,0
49,8,0,0
49,9,1,1
49,24,1,1
49,27,0,0
49,28,1,1
49,31,1,1
49,33,1,1
49,34,1,1
49,51,5,4
49,52,3,3
50,8,1,1
50,42,0,0
50,45,0,0
51,5,0,0
51,12,1,1
51,13,1,1
51,15,0,0
51,27,0,0
51,40,1,1
51,41,1,1
51,44,0,0
51,45,0,0
51,50,1,1
52,9,1,1
52,14,1,1
52,15,0,0
52,19,5,4
52,20,3,3
52,21,0,0
52,22,1,1
52,23,0,0
52,25,0,0
52,28,0,0
52,34,0,0
52,38,1,1
52,42,0,0
52,50,0,0
53,1,0,0
53,2,1,1
53,3,0,0
53,4,0,0
53,7,0,0
53,17,1,1
53,25,1,1
53,30,1,1
53,32,1,1
54,2,5,4
54,3,3,3
54,20,0,0
