user_id,checkin,atividade,post
661,2024-11-09,Crossfit,0
104,2024-08-10,Meditação,0
755,2023-11-10,Caminhada,0
462,2024-11-24,Caminhada,1
743,2024-01-25,Caminhada,0
991,2023-02-14,Caminhada,0
718,2024-10-24,Caminhada,0
710,2023-04-27,Bike Indoor,0
396,2023-05-02,Corrida,1
912,2024-04-26,Bike Indoor,1
337,2023-06-19,Corrida,0
599,2024-11-08,Crossfit,0
142,2024-02-04,Crossfit,0
317,2024-10-22,Meditação,0
711,2024-05-14,Meditação,0
558,2023-03-15,Crossfit,1
800,2023-05-29,Corrida,0
527,2024-06-20,Meditação,0
556,2023-03-02,Caminhada,0
401,2023-02-23,Crossfit,0
681,2023-08-11,Caminhada,0
310,2024-04-17,Caminhada,0
495,2023-11-12,Crossfit,0
556,2023-06-19,Bike Indoor,1
610,2023-02-01,Bike Indoor,1
773,2023-02-22,Corrida,0
109,2023-05-19,Bike Indoor,1
795,2024-01-09,Bike Indoor,1
372,2023-02-16,Caminhada,0
855,2023-03-31,Meditação,0
616,2023-02-05,Crossfit,0
768,2023-08-13,Meditação,0
891,2024-07-07,Caminhada,1
206,2023-09-26,Caminhada,0
847,2023-07-05,Meditação,1
43,2024-01-06,Meditação,0
865,2023-08-23,Bike Indoor,0
245,2023-05-02,Meditação,0
287,2024-02-28,Caminhada,1
355,2024-01-24,Bike Indoor,1
785,2023-04-27,Corrida,0
476,2024-04-10,Caminhada,0
83,2024-03-04,Bike Indoor,0
110,2024-03-17,Bike Indoor,1
950,2023-02-08,Crossfit,0
190,2023-06-11,Caminhada,1
983,2024-09-12,Corrida,0
800,2024-06-09,Bike Indoor,1
936,2023-06-15,Crossfit,0
909,2024-03-20,Caminhada,0
251,2024-03-18,Crossfit,0
724,2023-11-27,Crossfit,0
291,2023-12-01,Meditação,1
645,2023-04-22,Meditação,0
201,2023-05-19,Bike Indoor,0
797,2023-06-15,Caminhada,0
326,2024-02-18,Crossfit,0
511,2023-06-18,Caminhada,0
409,2023-05-04,Caminhada,0
607,2024-07-03,Bike Indoor,0
790,2023-04-08,Caminhada,0
962,2023-03-01,Corrida,0
941,2023-01-19,Corrida,0
837,2023-05-04,Bike Indoor,0
508,2023-08-14,Crossfit,0
731,2024-09-03,Corrida,0
